title,abstract,journal,DOI,year
Patients With Triangular Fibrocartilage Complex Injuries and Distal Radioulnar Joint Instability Gain Improved Forearm Peak Pronation and Supination Torque After Reinsertion.,"BACKGROUND: Forearm peak pronation and supination torque measurements are reduced up to 30% in patients with triangular fibrocartilage complex (TFCC) 1B injuries with concomitant distal radioulnar joint (DRUJ) instability. The aim of our study was to evaluate whether patients with TFCC 1B injuries, with concomitant DRUJ instability, improve in forearm peak pronation and supination torque following TFCC reinsertion surgery where postoperative DRUJ stability was achieved.METHODS: We report a retrospective case series with short-term follow-up (20 months) of the postoperative forearm peak torque in pronation and supination in 11 patients (9 women/2 men, average age at surgery 32 years) operated on by TFCC reinsertion. Two of the initial 13 patients were later on reoperated due to recurring DRUJ instability and were therefore excluded in this follow-up study. Nine were treated by arthroscopic TFCC reinsertion and 2 by open technique. The forearm peak pronation and supination torque were measured pre- and postoperatively and compared with the uninjured side.RESULTS: On average, a 16% improvement of the forearm peak torque was achieved in the injured wrist, as well as clinically assessed DRUJ stability. Functional postoperative improvement was noted in all patients, with reduced pain, good satisfaction, and acceptance of the surgery and the final result.CONCLUSION: We conclude that patients with TFCC injuries and DRUJ instability gain improved forearm peak pronation and supination torque after reinsertion. We also conclude that forearm peak pronation and supination torque is a valuable tool in the preoperative diagnostics of TFCC injuries with DRUJ instability as well as in the postoperative follow-up.","Hand (New York, N.Y.)",30081654,2018
Early and late fixation of ulnar styloid base fractures yields different outcomes.,"BACKGROUND: The role of surgical fixation of ulnar styloid fractures remains a subject of debate. The purpose of this study was to compare the surgical outcomes following early and late intervention.METHODS: We retrospectively reviewed 28 patients who underwent surgical repair for unilateral ulnar styloid fractures with distal radioulnar instability between 2004 and 2014. Surgical fixation was performed within 3 months of injury in 13 patients (group A) and beyond 3 months in 15 patients (group B). Patient characteristics and functional outcomes were compared between the two groups. The outcome survey consisted of QuickDASH score, grip strength, range of motion, pain score based on the visual analog scale, and surgical complications. Descriptive statistics were calculated for key variables. A p value of &lt; 0.01 was considered statistically significant.RESULTS: Patient characteristics including age, sex, injured side, dominant side injury, and concomitant distal radius fracture showed no significant differences between the two groups. Time to surgery averaged 1.1 months in group A and 12.3 months in group B. Significantly better outcomes were found in group A than in group B, including QuickDASH scores (4.4 ± 5.9 vs. 12.9 ± 9.9) and grip strength (37.4 ± 5.1 vs. 29.1 ± 5.9 kg). Significantly better range of motion was found in group A than in group B with respect to supination (81.9° ± 4.3° vs. 75° ± 8.5°), extension (84.6 ± 4.3 vs. 76.7 ± 6.5), and flexion (80.4° ± 3.8° vs. 72° ± 4.1°). The difference was not significant in case of pronation (78.8° ± 3° vs. 74.3° ± 5.9°) and with respect to pain scores (0.6 ± 0.7 vs. 1.3 ± 1).CONCLUSION: Both osseous and soft tissue lesions need to be fully addressed in ulnar styloid fractures. Early detection and surgical repair yielded better outcomes. Higher complication rates in late-treated fractures show that surgeons should select surgical candidates and modalities properly.",Journal of orthopaedic surgery and research,30064441,2018
A novel staged wrist sensorimotor rehabilitation program for a patient with triangular fibrocartilage complex injury: A case report.,"STUDY DESIGN: Case report.INTRODUCTION: Studies have highlighted the sensory innervations and stabilizing role of forearm muscles on wrist joint and implications to wrist sensorimotor rehabilitation. This case explored the novel incorporation of dart-throwing motion and proprioceptive neuromuscular facilitation in wrist sensorimotor rehabilitation.PURPOSE OF THE STUDY: To describe and evaluate a staged wrist sensorimotor rehabilitation program for a patient with triangular fibrocartilage complex (TFCC) injury.METHODS: The patient participated in the staged program for 9 sessions over a 3-month period. Treatment involved neuromuscular strengthening at the wrist and movement normalization of the upper extremity. Outcome measures were grip strength, visual analog scale, joint position sense, Quick Disabilities of the Arm, Shoulder and Hand, and patient-rated wrist evaluation.RESULTS: The patient showed improvement in all outcome measures. Most outcomes exceeded the established minimal clinically important difference values.DISCUSSION: The results suggest that dart-throwing motion and proprioceptive neuromuscular facilitation are beneficial in rehabilitation of TFCC injury.CONCLUSIONS: This is the first study that incorporated dart-throwing motion and proprioceptive neuromuscular facilitation in the sensorimotor rehabilitation of TFCC injury and yielded promising results. There is a need to further evaluate the program in prospective randomized controlled trial recruiting a larger group of patients with TFCC injury.",Journal of hand therapy : official journal of the American Society of Hand Therapists,30017412,2018
Magnetic resonance imaging analysis of the extensor carpi ulnaris tendon and distal radioulnar joint in triangular fibrocartilage complex tears.,"BACKGROUND: We compared the incidence of extensor carpi ulnaris (ECU) tendon and distal radioulnar joint (DRUJ) abnormalities using magnetic resonance imaging (MRI) between patients with triangular fibrocartilage complex (TFCC) tears and subjects without ulnar wrist pain. Additionally, we aimed to identify potential predictors of these MRI lesions.METHODS: The TFCC group comprised 70 consecutive patients with TFCC tears. The control group comprised 70 age- and sex-matched subjects without ulnar wrist pain. We evaluated the presence or absence of fluid collection in the DRUJ and ECU peritendinous area and longitudinal ECU tendon splitting. Dimensions of the fluid collection area around the ECU tendon were measured to evaluate the severity. The incidences of these abnormal MRI findings were compared between the two groups. We analyzed the correlation between the presence of ECU tendon and DRUJ lesions and variables including age, magnitude of ulnar variance, and type of TFCC tear.RESULTS: Significant differences were found between the two groups in the incidence of fluid collection of the DRUJ and ECU peritendinous area, and longitudinal ECU tendon splitting. Among the 70 patients with TFCC tears, age and the magnitude of ulnar variance were significantly correlated with the severity of fluid collection around the ECU tendon. The magnitude of ulnar variance in patients with DRUJ fluid collection was significantly larger than that in patients without fluid collection. There was a significant correlation between the presence of disc tears and DRUJ fluid collection.CONCLUSION: We found a higher incidence of accompanying abnormal MRI findings of the ECU tendon and DRUJ in patients with TFCC tears than in the control group. The presence of disc tears, the magnitude of ulnar variance, and age may be risk factors for these MRI lesions associated with TFCC tears.",Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,29983214,2018
Prognostic factors for the outcome of arthroscopic capsular repair of peripheral triangular fibrocartilage complex tears.,"BACKGROUND: Little information is available about prognostic factors of arthroscopic capsular repair for peripheral triangular fibrocartilage complex (TFCC) lesions. The purpose of this study was to analyze factors that affect the treatment outcomes of arthroscopic capsular repair for peripheral TFCC tears.METHODS: This study retrospectively enrolled 60 patients who were treated with arthroscopic outside-in capsular repair for peripheral TFCC tears. Functional survey, including pain numeric rating scale (NRS) on an ulnar provocation test, distal radio-ulnar joint (DRUJ) stress test, Disability of the Arm, Shoulder, and Hand (DASH) score, and satisfaction with treatment, was conducted at 12-month follow-up. Patients who were enthusiastic or satisfied comprised the satisfied group, and those who were noncommittal or disappointed the dissatisfied group. Demographic, clinical, and arthroscopic findings were compared between the satisfied and dissatisfied groups.RESULTS: The mean pain NRS and DASH scores exhibited significant clinical improvement at the 12-month follow-up. Out of the total participants, 46 were satisfied and 14 were dissatisfied about the treatment, with significantly more female subjects in the dissatisfied group than in the satisfied one. The patients in the satisfied group had a shorter duration of symptoms, were more likely to have trauma history, and exhibited positive DRUJ stress test results compared to the dissatisfied group. There were no significant group differences in age, hand dominance, work level, and the extent of ulnar plus variance. Multivariable analysis revealed that female gender, a longer duration of symptoms, or negative DRUJ stress test results were associated with an increased disability after arthroscopic TFCC repair.CONCLUSION: Female gender, a longer duration of symptom, and a negative DRUJ stress test are associated with a higher likelihood of treatment failure after arthroscopic outside-in capsular repair of peripheral TFCC tears.",Archives of orthopaedic and trauma surgery,29974215,2018
[Suture techniques for TFCC].,"Traumatic ruptures of the triangular fibrocartilaginous complex (TFCC) may cause ulnar-sided wrist pain. These ruptures frequently lead to instability of the distal radioulnar joint (DRUJ) because the ulnoradial ligaments, which are interwoven with the TFCC, are avulsed from the fovea of the ulnar head or-very rarely-from the radius. Conservative treatment may be sufficient, and some instability may be tolerated over time. In the case of persistent pain, operative repair by reattachment of the TFCC and, thereby, the ligaments to the previously debrided bone in the fovea is effective in reestablishing a stable, pain free DRUJ. Several arthroscopic and open repair techniques have been described in the last years. Contraindications such as the ulna-plus-situation or instability due to even minor degrees of malunion after fractures of the forearm bones must be kept in mind.An overview is given of the pathological anatomy, diagnosis, indications and suturing techniques.",Der Orthopade,29955933,2018
[Radiology of the distal radioulnar joint and the ulnocarpal complex].,"X-ray images exposed in neutral position and radiocarpally centred are essential in imaging of the distal radioulnar joint (DRUJ). The anatomic orientation of the DRUJ is favourable for acquiring transaxial scans to display its anatomy, subtle derangements, osteoarthritis and intra-articular fractures free from superpositions. The triangular fibrocartilage complex (TFCC) is the most important stabilizer of the DRUJ. Provided that a focused clinical indication is given, high-resolution images are acquired, and an intra-venous or intra-articular contrast-agent is applied, all TFCC structures and destabilizing lesions can be displayed with the use of CT and MRI.",Der Orthopade,29915995,2018
Prevalence and clinical characteristics of radiographic central triangular fibrocartilage complex tears in symptomatic and asymptomatic individuals younger than 50 years.,"BACKGROUND: Few studies have addressed the prevalence of central triangular fibrocartilage complex (TFCC) tears or their risk factors for symptom development. The aim of this study was to determine the prevalence of radiographic central TFCC tears in both symptomatic and asymptomatic individuals, and evaluate clinical characteristics of symptomatic individuals.METHODS: In this retrospective case control study, 221 patients younger than 50 years who exhibited positive ulnocarpal provocation test and underwent MRI to identify abnormalities associated with TFCC were age- and sex-matched with 221 controls who had undergone hand or wrist MRI for tumorous lesions or pain in hand other than ulnar-sided wrist. Demographic and radiologic parameters including the degree of ulnar plus variance, the type of central TFCC lesions, the presence of ulna head or carpal bone enhancement, and cartilage degeneration of ulno-carpal or distal radio-ulnar joint were compared. Multivariable regression analysis was carried out to identify independent risk factors for symptom development in patients with central TFCC lesions.RESULTS: The prevalence of central TFCC lesions was 68/221 in symptomatic patients, which was not significantly different from that (51/221) in asymptomatic controls. Patients in the symptomatic group had significantly greater ulnar plus variance (1.6 vs. 0.7). They were more likely to have type 1A tears and bony enhancement in ulnar head or carpus on MR images. Multivariable logistic regression analysis revealed that youth, female gender, and presence of bony enhancement were significant risk factors for symptom development in central TFCC lesions.CONCLUSION: Based on the findings of this study, prevalence of central TFCC lesions detected on MRI in symptomatic patients seems to be similar to that in asymptomatic individuals. Younger age, female gender, and presence of bony enhancement on MR images seem to be risk factors for symptoms of central TFCC lesions.",Archives of orthopaedic and trauma surgery,29855684,2018
Treatment of distal radioulnar joint dislocation with spontaneous rupture of extensor tendon by Sauve-Kapandji osteotomy assisted by wrist arthroscopy: A case series and literature review.,"RATIONALE: Dislocation of the distal radioulnar joint and injury to distal forearm are commonly encountered. However, delayed diagnosis or misdiagnosis has been relatively rare due to improved diagnosis and treatment. Treatment of old dislocation of radioulnar joint is challenging due to development of secondary chronic instability and difficulties in restoration of joint function.PATIENT CONCERNS: This report describes three cases of patients complained about inability to extend their little fingers.DIAGNOSES: Local examination and X-ray revealed chronic ulnar joint dislocation.INTERVENTION: Wrist arthroplasty was used to perform ulnar distal articular cleansing and repair of the triangular fibrocartilage complex (TFCC) articular cartilage. The Sauve-Kapandji osteotomy was performed to treat radial joint dislocation and stabilize ulnar joint. Repair of spontaneous fracture of the extensor tendon was also performed. Postoperative gypsum was used for immobilization for 4 weeks.OUTCOMES: The follow-up results are reported. Based on Cooney wrist score, the preoperative scores were poor (55, 50, 60), while the post-operative scores were excellent (90, 85, 90) in all 3 cases.LESSONS: Early and accurate diagnosis and treatment is important for the recovery of distal radius fracture for patients with dislocation of the ulnar joint. The correct treatment determines the degree of later functional recovery. Early surgical treatment is recommended for patients with unsatisfactory reset. Delayed diagnosis and treatment often lead to chronic and persistent lower ulnar joint subluxation or dislocation, or even osteoarthritis. All patients in this report showed great improvement in wrist function after surgery.",Medicine,29851780,2018
[Arthroscopy of the distal radioulnar joint].,"OBJECTIVE: The aim of the procedure is to visualize the proximal pouch of the DRUJ, the joint surfaces of the sigmoid notch and the ulnar head, the convexity of the ulnar head and the proximal ulnar side surface of the triangular fibrocartilage complex (TFCC).INDICATIONS: Arthroscopy of the distal radioulnar joint is applied for the evaluation of joint pathologies in ulnar-sided wrist pain, especially in cases without diagnostic findings in standard X‑rays and MRIs and arthroscopically assisted procedures.SURGICAL TECHNIQUE: In vertical extension, two portals of the wrist are created on the dorsal side of the DRUJ between the extensor digiti minimi and extensor carpi ulnaris tendons. By insertion of a small joint arthroscope via these portals visualization of the ulnar head, the sigmoid notch, the proximal pouch of the DRUJ and the proximal surface of the TFCC is accomplished.CONCLUSIONS: Arthroscopy of the DRUJ is a rarely and not routinely performed procedure for the diagnosis and therapy of ulnar-sided wrist pain. It is technical demanding with a flat learning curve and anatomy-related obstacles. A complete view of the joint is not always accessible. Rare complications are injuries of the extensor digiti minimi tendon, as well as contusion or sectioning of the transverse branch of the dorsal branch of the ulnar nerve. In distinct cases, this procedure offers important additional information about the distal radioulnar joint. The procedure is especially valuable for the detection of proximal TFCC injuries that are missed otherwise.",Der Orthopade,29797018,2018
